=== UNITY CONSOLE LOG ===
Session started: 7/14/2025 4:40:20 PM
Unity Version: 6000.0.45f1
Platform: WindowsEditor

[16:40:21.041] [0.000s] [INFO] SimpleTowerDefenseAgent: OnEpisodeBegin called
[16:40:21.046] [0.000s] [INFO] Heuristic: Building tower on node 0
[16:40:21.050] [0.000s] [INFO] Building MachineGunTowerData at position (2.71, 2.41, 0.00)
[16:40:21.051] [0.000s] [INFO] Tower MachineGunTower(Clone) initialized at (2.71, 2.41, 0.00)
[16:40:21.052] [0.000s] [INFO] Tower MachineGunTower(Clone) initialized successfully
[16:40:21.052] [0.000s] [INFO] Tower built! Money left: 0, Tower active: True
[16:40:21.055] [0.000s] [INFO] Attempting to build MachineGunTowerData at node 0: True
[16:40:21.742] [0.020s] [INFO] Heuristic: No actions available
[16:40:21.798] [0.040s] [INFO] Heuristic: No actions available
[16:40:21.805] [0.080s] [INFO] Heuristic: No actions available
[16:40:21.824] [0.100s] [INFO] Heuristic: No actions available
[16:40:21.842] [0.120s] [INFO] Heuristic: No actions available
[16:40:21.866] [0.140s] [INFO] Heuristic: No actions available
[16:40:21.882] [0.160s] [INFO] Heuristic: No actions available
[16:40:21.903] [0.180s] [INFO] Heuristic: No actions available
[16:40:21.923] [0.200s] [INFO] Heuristic: No actions available
[16:40:21.944] [0.220s] [INFO] Heuristic: No actions available
[16:40:21.966] [0.240s] [INFO] Heuristic: No actions available
[16:40:21.982] [0.260s] [INFO] Heuristic: No actions available
[16:40:22.002] [0.280s] [INFO] Heuristic: No actions available
[16:40:22.022] [0.300s] [INFO] Heuristic: No actions available
[16:40:22.044] [0.320s] [INFO] Heuristic: No actions available
[16:40:22.063] [0.340s] [INFO] Heuristic: No actions available
[16:40:22.083] [0.360s] [INFO] Heuristic: No actions available
[16:40:22.104] [0.380s] [INFO] Heuristic: No actions available
[16:40:22.126] [0.400s] [INFO] Heuristic: No actions available
[16:40:22.143] [0.420s] [INFO] Heuristic: No actions available
[16:40:22.162] [0.440s] [INFO] Heuristic: No actions available
[16:40:22.183] [0.460s] [INFO] Heuristic: No actions available
[16:40:22.204] [0.480s] [INFO] Heuristic: No actions available
[16:40:22.222] [0.500s] [INFO] Heuristic: No actions available
[16:40:22.242] [0.520s] [INFO] Heuristic: No actions available
[16:40:22.263] [0.540s] [INFO] Heuristic: No actions available
[16:40:22.284] [0.560s] [INFO] Heuristic: No actions available
[16:40:22.302] [0.580s] [INFO] Heuristic: No actions available
[16:40:22.323] [0.600s] [INFO] Heuristic: No actions available
[16:40:22.343] [0.620s] [INFO] Heuristic: No actions available
[16:40:22.363] [0.640s] [INFO] Heuristic: No actions available
[16:40:22.383] [0.660s] [INFO] Heuristic: No actions available
[16:40:22.402] [0.680s] [INFO] Heuristic: No actions available
[16:40:22.423] [0.700s] [INFO] Heuristic: No actions available
[16:40:22.444] [0.720s] [INFO] Heuristic: No actions available
[16:40:22.465] [0.740s] [INFO] Heuristic: No actions available
[16:40:22.484] [0.760s] [INFO] Heuristic: No actions available
[16:40:22.503] [0.780s] [INFO] Heuristic: No actions available
[16:40:22.522] [0.800s] [INFO] Heuristic: No actions available
[16:40:22.544] [0.820s] [INFO] Heuristic: No actions available
[16:40:22.563] [0.840s] [INFO] Heuristic: No actions available
[16:40:22.583] [0.860s] [INFO] Heuristic: No actions available
[16:40:22.604] [0.880s] [INFO] Heuristic: No actions available
[16:40:22.624] [0.900s] [INFO] Heuristic: No actions available
[16:40:22.644] [0.920s] [INFO] Heuristic: No actions available
